Dataset Name,Archive Type,Proxy Type,Minimum Age,Maximum Age,Longitude,Latitude,Max Resolution,Min Resolution
515_RECALIBRATED_Makassar_Strait_BJ80334__Leafwax_dD,Leaf material,Delta-deuterium,-395.9,1569.7,119.45,3.88,80.79999999999995,39.39999999999998
516_RECALIBRATED_Makassar_Strait__BJ80331__leafwax_dD,Leaf material,Delta-deuterium,1659.0,1987.0,119.45,3.88,16.0,12.0
518_RECALIBRATED_Western_Pacific_Warm_Pool_MD982181__mgca_Gruber,Foraminifera,Magnesium-calcium ratio,-19215.0,1965.0,125.83,6.3,515.0,0.0
519_RECALIBRATED_Western_Pacific_Warm_Pool_MD982181__d13C_Gruber,Foraminifera,Delta-carbon-13,-19215.0,1965.0,125.83,6.3,515.0,0.0
520_RECALIBRATED_Western_Pacific_Warm_Pool_MD982181__d18O_Gruber,Foraminifera,Delta-oxygen-18,-19215.0,1965.0,125.83,6.3,515.0,0.0
536_RECALIBRATED_South_Sunda_Islands_GeoB100657__G_bulloides_mgca,Foraminifera,Magnesium-calcium ratio,-95.3,1983.4,118.0149,-9.0037,17.80000000000001,0.6000000000000227
539_RECALIBRATED_South_Sunda_Islands_GeoB100657__P_obliqu_mgca,Foraminifera,Magnesium-calcium ratio,-95.3,1983.4,118.0149,-9.0037,37.20000000000002,1.4000000000000057
546_RECALIBRATED_South_Sunda_Islands_GeoB100657__ca,Foraminifera,Calcium,-3936.9,1979.7,118.0149,-9.0037,60.000000000000014,6.5
547_RECALIBRATED_South_Sunda_Islands_GeoB100657__ti,Foraminifera,Titanium,-3936.9,1979.7,118.0149,-9.0037,60.000000000000014,6.5
548_RECALIBRATED_South_Sunda_Islands_GeoB100657__fe,Foraminifera,Iron,-3936.9,1979.7,118.0149,-9.0037,60.000000000000014,6.5
549_RECALIBRATED_South_Sunda_Islands_GeoB100657__lntica,Foraminifera,Natural log of ti/ca,-3936.9,1979.7,118.0149,-9.0037,60.000000000000014,6.5
550__Blue_Lake_lithostratigraphy__mgca_G_australica,Ostracod,Magnesium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,144.56999999999994,5.625
551__Blue_Lake_lithostratigraphy__mgca_C_novaezelandiae,Ostracod,Magnesium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,3147.5299999999997,10.0
552__Blue_Lake_lithostratigraphy__mgca_I_smaragdinus,Ostracod,Magnesium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,66.25,6.890000000000327
553__Blue_Lake_lithostratigraphy__mgca_L_mowbrayensis,Ostracod,Magnesium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,4595.5650000000005,7.5
554__Blue_Lake_lithostratigraphy__mgca_L_dorsosicula,Ostracod,Magnesium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,21.199999999999818,21.199999999999818
556__Blue_Lake_lithostratigraphy__srca_G_australica,Ostracod,Strontium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,144.56999999999994,5.625
557__Blue_Lake_lithostratigraphy__srca_C_novaezelandiae,Ostracod,Strontium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,3147.5299999999997,10.0
558__Blue_Lake_lithostratigraphy__srca_I_smaragdinus,Ostracod,Strontium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,66.25,6.890000000000327
559__Blue_Lake_lithostratigraphy__srca_L_mowbrayensis,Ostracod,Strontium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,4595.5650000000005,7.5
560__Blue_Lake_lithostratigraphy__srca_L_dorsosicula,Ostracod,Strontium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,21.199999999999818,21.199999999999818
562__Blue_Lake_lithostratigraphy__naca_G_australica,Ostracod,Sodium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,144.56999999999994,5.625
563__Blue_Lake_lithostratigraphy__naca_C_novaezelandiae,Ostracod,Sodium-calcium ratio,-3740.26,1950.0,140.9017,-38.0314,3147.5299999999997,10.0
